Fevals,Best,Current,Mean range,Temperature
272,0.5992710022539655,-0.5462783982475046,1.0,0.25118864315095807
273,0.5992710022539655,-0.5374274159150257,1.0,0.25118864315095807
274,0.5992710022539655,-0.5482684262936672,1.0,0.25118864315095807
275,0.5992710022539655,-0.5482684262936672,1.0,0.25118864315095807
276,0.5992710022539655,-0.522884083469366,1.0,0.25118864315095807
277,0.5992710022539655,-0.5196270755654676,1.0,0.25118864315095807
278,0.5992710022539655,-0.49457746745337633,1.0,0.25118864315095807
279,0.5992710022539655,-0.5148283977491922,1.0,0.25118864315095807
280,0.5992710022539655,-0.5133808513517428,1.0,0.25118864315095807
281,0.5992710022539655,-0.4769330133251468,1.0,0.25118864315095807
282,0.5992710022539655,-0.5375267932363015,1.0,0.25118864315095807
283,0.5992710022539655,-0.5449854346351202,1.0,0.25118864315095807
284,0.5992710022539655,-0.5423918447323481,1.0,0.25118864315095807
285,0.6058845171687381,-0.6058845171687381,1.0,0.25118864315095807
286,0.6058845171687381,-0.5329787424084581,1.0,0.25118864315095807
287,0.6058845171687381,-0.5419055680541984,1.0,0.25118864315095807
288,0.6058845171687381,-0.5350849593857852,1.0,0.25118864315095807
289,0.6058845171687381,-0.5350849593857852,1.0,0.25118864315095807
290,0.6058845171687381,-0.4951655831514099,1.0,0.25118864315095807
291,0.6058845171687381,-0.4901677331852736,1.0,0.25118864315095807
292,0.6058845171687381,-0.4311282459264554,1.0,0.25118864315095807
293,0.6058845171687381,-0.42871238119289623,1.0,0.25118864315095807
294,0.6058845171687381,-0.42729080124916247,1.0,0.25118864315095807
295,0.6058845171687381,-0.4947613842267982,1.0,0.25118864315095807
296,0.6058845171687381,-0.5173552004565953,1.0,0.25118864315095807
297,0.6058845171687381,-0.5187931579993149,1.0,0.25118864315095807
298,0.6058845171687381,-0.5187931579993149,1.0,0.25118864315095807
299,0.6058845171687381,-0.5594337096727842,1.0,0.25118864315095807
300,0.6058845171687381,-0.5635968030328546,1.0,0.25118864315095807
